No,Test_ID,Test_Label,Section Types,Sections,L,t,h,b,A,Pt,BC,Failure Mode,FM,Py,Fy,Pt/Py,"P(crl_s,crd_s)",KL_r,λc,Pne,λ(le-d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_1,I120S45L360-1,O-2C,Open,359,1.18,122,55,623.7,123.75,Fixed,L ,L ,182.71,292.95,0.68,61.14,6.86,0.09,182.08,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1_2,I120S45L360-2,O-2C,Open,366,1.17,121,53,614.1,123.33,Fixed,L ,L ,179.9,292.95,0.69,61.14,6.99,0.09,179.29,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1_3,I120S45L360-3,O-2C,Open,360,1.17,122,54,608,121.24,Fixed,L ,L ,178.11,292.94,0.68,61.14,6.88,0.09,177.51,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1_4,I120S90L360-1,O-2C,Open,359,1.18,121,53,611.9,118.65,Fixed,L ,L ,179.26,292.96,0.66,61.14,6.86,0.10,178.47,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1_5,I120S90L360-2,O-2C,Open,361,1.17,123,53.5,617.3,119.29,Fixed,L ,L ,180.84,292.95,0.66,61.14,6.90,0.10,180.03,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1_6,I120S90L360-3,O-2C,Open,359,1.18,122,53.5,611.7,118.11,Fixed,L ,L ,179.2,292.95,0.66,61.14,6.86,0.10,178.41,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1_7,I120S150L360-1,O-2C,Open,358,1.17,121,52,605.9,117.25,Fixed,L ,L ,177.5,292.95,0.66,61.14,6.84,0.13,176.31,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1_8,I120S150L360-2,O-2C,Open,365,1.16,122,54,618.3,117.48,Fixed,L ,L ,181.13,292.95,0.65,61.14,6.97,0.13,179.89,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1_9,I120S150L360-3,O-2C,Open,363,1.18,121,54,612.9,117.42,Fixed,L ,L ,179.55,292.95,0.65,61.14,6.94,0.13,178.33,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1_10,I140S50L420-1,O-2C,Open,418,1.18,141.5,51.5,669.5,122.79,Fixed,L ,L ,196.13,292.95,0.63,51.08,7.87,0.09,195.48,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
